,30 yr Mortgage Rate,10 yr Treasury Bond Rate
1997-01-24,7.85,6.64
1997-01-31,7.88,6.53
1997-02-07,7.74,6.43
1997-02-14,7.65,6.28
1997-02-21,7.56,6.36
1997-02-28,7.65,6.56
1997-03-07,7.84,6.57
1997-03-14,7.84,6.71
1997-03-21,7.94,6.74
1997-04-04,8.18,6.92
1997-04-11,8.15,6.98
1997-04-18,8.16,6.84
1997-04-25,8.08,6.94
1997-05-02,8.01,6.68
1997-05-09,7.94,6.67
1997-05-16,7.91,6.7
1997-05-23,7.92,6.74
1997-05-30,7.94,6.67
1997-06-06,7.85,6.51
1997-06-13,7.72,6.43
1997-06-20,7.61,6.37
1997-06-27,7.58,6.46
1997-07-11,7.47,6.23
1997-07-18,7.47,6.24
1997-07-25,7.43,6.18
1997-08-01,7.36,6.2
1997-08-08,7.46,6.38
1997-08-15,7.54,6.27
1997-08-22,7.46,6.38
1997-08-29,7.58,6.34
1997-09-05,7.53,6.37
1997-09-12,7.53,6.29
1997-09-19,7.38,6.09
1997-09-26,7.28,6.08
1997-10-03,7.31,6.01
1997-10-10,7.26,6.15
1997-10-17,7.34,6.17
1997-10-24,7.35,6.01
1997-10-31,7.21,5.84
1997-11-07,7.24,5.9
1997-11-14,7.23,5.86
1997-11-21,7.18,5.82
1997-11-28,7.17,5.86
1997-12-05,7.15,5.92
1997-12-12,7.17,5.74
1997-12-19,7.07,5.72
1997-12-26,6.99,5.75
1998-01-02,7.03,5.67
1998-01-09,6.94,5.4
1998-01-16,6.89,5.54
1998-01-23,6.99,5.7
1998-01-30,7.12,5.53
1998-02-06,7.03,5.62
1998-02-13,7.06,5.49
1998-02-20,6.99,5.54
1998-03-06,7.19,5.73
1998-03-13,7.16,5.58
1998-03-20,7.08,5.57
1998-03-27,7.08,5.68
1998-04-03,7.15,5.47
1998-04-17,7.17,5.59
1998-04-24,7.15,5.67
1998-05-01,7.22,5.67
1998-05-08,7.14,5.71
1998-05-15,7.19,5.68
1998-05-22,7.1,5.64
1998-05-29,7.07,5.56
1998-06-05,7.05,5.58
1998-06-12,7.04,5.43
1998-06-19,6.94,5.47
1998-06-26,6.96,5.46
1998-07-10,6.91,5.42
1998-07-17,6.94,5.51
1998-07-24,6.96,5.45
1998-07-31,6.97,5.5
1998-08-07,6.94,5.4
1998-08-14,6.91,5.4
1998-08-21,6.92,5.32
1998-08-28,6.92,5.09
1998-09-04,6.82,5.02
1998-09-11,6.77,4.85
1998-09-18,6.66,4.7
1998-09-25,6.64,4.6
1998-10-02,6.6,4.31
1998-10-09,6.49,4.77
1998-10-16,6.9,4.44
1998-10-23,6.73,4.7
1998-10-30,6.83,4.64
1998-11-06,6.89,4.93
1998-11-13,6.93,4.82
1998-11-20,6.86,4.82
1998-11-27,6.78,4.81
1998-12-04,6.71,4.62
1998-12-11,6.69,4.61
1998-12-18,6.69,4.58
1998-12-31,6.83,4.65
1999-01-08,6.79,4.86
1999-01-15,6.83,4.66
1999-01-22,6.78,4.64
1999-01-29,6.74,4.66
1999-02-05,6.75,4.94
1999-02-12,6.77,5.06
1999-02-19,6.82,5.07
1999-02-26,6.89,5.29
1999-03-05,7.06,5.34
1999-03-12,7.11,5.16
1999-03-19,7.01,5.17
1999-03-26,6.98,5.21
1999-04-02,6.98,5.2
1999-04-09,6.92,5.05
1999-04-16,6.87,5.23
1999-04-23,6.88,5.26
1999-04-30,6.93,5.36
1999-05-07,7.02,5.54
1999-05-14,7.1,5.62
1999-05-21,7.23,5.52
1999-05-28,7.23,5.64
1999-06-04,7.41,5.82
1999-06-11,7.51,6.02
1999-06-18,7.65,5.84
1999-06-25,7.63,6.02
1999-07-02,7.71,5.82
1999-07-09,7.65,5.84
1999-07-16,7.58,5.68
1999-07-23,7.52,5.84
1999-07-30,7.7,5.92
1999-08-06,7.89,6.02
1999-08-13,8.15,5.98
1999-08-20,7.93,5.88
1999-08-27,7.8,5.85
1999-09-03,7.83,5.89
1999-09-10,7.88,5.89
1999-09-17,7.82,5.87
1999-09-24,7.76,5.75
1999-10-01,7.7,6.0
1999-10-08,7.82,6.04
1999-10-15,7.85,6.09
1999-10-22,7.93,6.21
1999-10-29,7.96,6.02
1999-11-05,7.84,5.92
1999-11-12,7.67,5.93
1999-11-19,7.69,6.07
1999-11-26,7.75,6.12
1999-12-03,7.84,6.17
1999-12-10,7.84,6.08
1999-12-17,7.86,6.3
1999-12-31,8.06,6.45
2000-01-07,8.15,6.52
2000-01-14,8.18,6.69
2000-01-21,8.26,6.79
2000-01-28,8.25,6.66
2000-02-04,8.25,6.53
2000-02-11,8.36,6.63
2000-02-18,8.38,6.49
2000-02-25,8.31,6.36
2000-03-03,8.27,6.39
2000-03-10,8.23,6.39
2000-03-17,8.24,6.2
2000-03-24,8.23,6.2
2000-03-31,8.23,6.03
2000-04-07,8.2,5.86
2000-04-14,8.12,5.85
2000-04-28,8.13,6.23
2000-05-05,8.28,6.51
2000-05-12,8.52,6.51
2000-05-19,8.64,6.51
2000-05-26,8.62,6.33
2000-06-02,8.54,6.15
2000-06-09,8.32,6.13
2000-06-16,8.22,5.99
2000-06-23,8.14,6.19
2000-06-30,8.22,6.03
2000-07-07,8.16,6.01
2000-07-14,8.09,6.1
2000-07-21,8.21,6.01
2000-07-28,8.13,6.04
2000-08-04,8.12,5.91
2000-08-11,8.04,5.79
2000-08-18,7.96,5.78
2000-08-25,7.99,5.73
2000-09-01,7.96,5.68
2000-09-08,7.94,5.73
2000-09-15,7.88,5.84
2000-09-22,7.9,5.85
2000-09-29,7.88,5.8
2000-10-06,7.83,5.82
2000-10-13,7.84,5.73
2000-10-20,7.83,5.64
2000-10-27,7.68,5.72
2000-11-03,7.73,5.83
2000-11-10,7.79,5.82
2000-11-17,7.73,5.71
2000-11-24,7.73,5.63
2000-12-01,7.65,5.52
2000-12-08,7.54,5.35
2000-12-15,7.42,5.2
2000-12-22,7.17,5.02
2000-12-29,7.13,5.12
2001-01-05,7.07,4.93
2001-01-12,6.89,5.25
2001-01-19,7.02,5.19
2001-01-26,7.15,5.29
2001-02-02,7.09,5.17
2001-02-09,6.98,5.03
2001-02-16,7.01,5.11
2001-02-23,7.12,5.1
2001-03-02,7.03,4.95
2001-03-09,6.97,4.95
2001-03-16,6.96,4.78
2001-03-23,6.89,4.8
2001-03-30,6.91,4.93
2001-04-06,7.01,4.89
2001-04-20,7.14,5.29
2001-04-27,7.12,5.34
2001-05-04,7.14,5.21
2001-05-11,7.1,5.51
2001-05-18,7.14,5.41
2001-05-25,7.2,5.52
2001-06-01,7.24,5.39
2001-06-08,7.2,5.38
2001-06-15,7.14,5.27
2001-06-22,7.11,5.14
2001-06-29,7.11,5.42
2001-07-06,7.19,5.41
2001-07-13,7.21,5.27
2001-07-20,7.08,5.15
2001-07-27,7.03,5.13
2001-08-03,7.0,5.2
2001-08-10,7.0,4.99
2001-08-17,6.92,4.84
2001-08-24,6.91,4.93
2001-08-31,6.92,4.85
2001-09-07,6.89,4.8
2001-09-14,6.86,4.57
2001-09-21,6.8,4.7
2001-09-28,6.72,4.6
2001-10-05,6.64,4.52
2001-10-12,6.58,4.68
2001-10-19,6.61,4.63
2001-10-26,6.64,4.53
2001-11-02,6.56,4.37
2001-11-09,6.45,4.34
2001-11-16,6.51,4.91
2001-11-23,6.75,5.04
2001-11-30,7.02,4.78
2001-12-07,6.84,5.2
2001-12-14,7.09,5.24
2001-12-21,7.17,5.12
2001-12-28,7.16,5.15
2002-01-04,7.14,5.18
2002-01-11,7.06,4.92
2002-01-18,6.83,4.94
2002-01-25,6.96,5.1
2002-02-01,7.02,5.02
2002-02-08,6.88,4.9
2002-02-15,6.86,4.86
2002-02-22,6.81,4.84
2002-03-01,6.8,4.98
2002-03-08,6.87,5.33
2002-03-15,7.08,5.35
2002-03-22,7.14,5.4
2002-04-05,7.13,5.22
2002-04-12,6.99,5.18
2002-04-19,6.94,5.21
2002-04-26,6.88,5.08
2002-05-03,6.78,5.08
2002-05-10,6.79,5.15
2002-05-17,6.89,5.27
2002-05-24,6.81,5.16
2002-05-31,6.76,5.08
2002-06-07,6.71,5.1
2002-06-14,6.71,4.83
2002-06-21,6.63,4.79
2002-06-28,6.55,4.86
2002-07-05,6.57,4.9
2002-07-12,6.54,4.63
2002-07-19,6.49,4.61
2002-07-26,6.34,4.43
2002-08-02,6.43,4.33
2002-08-09,6.31,4.27
2002-08-16,6.22,4.32
2002-08-23,6.27,4.25
2002-08-30,6.22,4.14
2002-09-06,6.15,4.05
2002-09-13,6.18,3.92
2002-09-20,6.05,3.79
2002-09-27,5.99,3.69
2002-10-04,6.01,3.69
2002-10-11,5.98,3.83
2002-10-18,6.15,4.14
2002-10-25,6.31,4.12
2002-11-01,6.13,4.01
2002-11-08,6.11,3.85
2002-11-15,5.94,4.05
2002-11-22,6.03,4.18
2002-11-29,6.13,4.22
2002-12-06,6.19,4.09
2002-12-13,6.04,4.07
2002-12-20,6.03,3.97
2002-12-27,5.93,3.83
2003-01-03,5.85,4.05
2003-01-10,5.95,4.16
2003-01-17,5.97,4.05
2003-01-24,5.91,3.94
2003-01-31,5.9,4.0
2003-02-07,5.88,3.96
2003-02-14,5.86,3.95
2003-02-21,5.84,3.9
2003-02-28,5.79,3.71
2003-03-07,5.67,3.63
2003-03-14,5.61,3.72
2003-03-21,5.79,4.11
2003-03-28,5.91,3.92
2003-04-04,5.79,3.96
2003-04-11,5.85,4.0
2003-04-25,5.79,3.91
2003-05-02,5.7,3.94
2003-05-09,5.62,3.69
2003-05-16,5.45,3.46
2003-05-23,5.34,3.34
2003-05-30,5.31,3.37
2003-06-06,5.26,3.37
2003-06-13,5.21,3.13
2003-06-20,5.21,3.4
2003-06-27,5.24,3.58
2003-07-11,5.52,3.66
2003-07-18,5.67,4.0
2003-07-25,5.94,4.22
2003-08-01,6.14,4.44
2003-08-08,6.34,4.27
2003-08-15,6.24,4.55
2003-08-22,6.28,4.48
2003-08-29,6.32,4.45
2003-09-05,6.44,4.35
2003-09-12,6.16,4.27
2003-09-19,6.01,4.17
2003-09-26,5.98,4.04
2003-10-03,5.77,4.21
2003-10-10,5.95,4.29
2003-10-17,6.05,4.41
2003-10-24,6.05,4.24
2003-10-31,5.94,4.33
2003-11-07,5.98,4.48
2003-11-14,6.03,4.22
2003-11-21,5.83,4.15
2003-11-28,5.89,4.34
2003-12-05,6.02,4.23
2003-12-12,5.88,4.26
2003-12-19,5.82,4.15
2003-12-26,5.81,4.17
2003-12-31,5.85,4.27
2004-01-08,5.87,4.27
2004-01-15,5.66,3.99
2004-01-22,5.64,3.99
2004-01-29,5.68,4.22
2004-02-05,5.72,4.2
2004-02-12,5.66,4.1
2004-02-19,5.58,4.05
2004-02-26,5.58,4.05
2004-03-04,5.59,4.04
2004-03-11,5.41,3.74
2004-03-18,5.38,3.76
2004-03-25,5.4,3.75
2004-04-01,5.52,3.91
2004-04-08,5.79,4.21
2004-04-15,5.89,4.42
2004-04-22,5.94,4.4
2004-04-29,6.01,4.55
2004-05-06,6.12,4.63
2004-05-13,6.34,4.85
2004-05-20,6.3,4.72
2004-05-27,6.32,4.6
2004-06-03,6.28,4.71
2004-06-10,6.3,4.81
2004-06-17,6.32,4.71
2004-06-24,6.25,4.66
2004-07-01,6.21,4.57
2004-07-08,6.01,4.49
2004-07-15,6.0,4.5
2004-07-22,5.98,4.48
2004-07-29,6.08,4.6
2004-08-05,5.99,4.43
2004-08-12,5.85,4.27
2004-08-19,5.81,4.22
2004-08-26,5.82,4.22
2004-09-02,5.77,4.2
2004-09-09,5.83,4.22
2004-09-16,5.75,4.08
2004-09-23,5.7,4.02
2004-09-30,5.72,4.14
2004-10-07,5.82,4.26
2004-10-14,5.74,4.03
2004-10-21,5.69,4.01
2004-10-28,5.64,4.09
2004-11-04,5.7,4.1
2004-11-18,5.74,4.12
2004-11-24,5.72,4.2
2004-12-02,5.81,4.4
2004-12-09,5.71,4.19
2004-12-16,5.68,4.19
2004-12-22,5.75,4.21
2004-12-29,5.81,4.33
2005-01-06,5.77,4.29
2005-01-13,5.74,4.2
2005-01-20,5.67,4.17
2005-01-27,5.66,4.22
2005-02-03,5.63,4.18
2005-02-10,5.57,4.07
2005-02-17,5.62,4.19
2005-02-24,5.69,4.29
2005-03-03,5.79,4.39
2005-03-10,5.85,4.48
2005-03-17,5.95,4.47
2005-03-24,6.01,4.6
2005-03-31,6.04,4.5
2005-04-07,5.93,4.49
2005-04-14,5.91,4.37
2005-04-21,5.8,4.32
2005-04-28,5.78,4.19
2005-05-05,5.75,4.19
2005-05-12,5.77,4.18
2005-05-19,5.71,4.11
2005-05-26,5.65,4.08
2005-06-02,5.62,3.89
2005-06-09,5.56,3.98
2005-06-16,5.63,4.09
2005-06-23,5.57,3.96
2005-06-30,5.53,3.94
2005-07-07,5.62,4.05
2005-07-14,5.66,4.19
2005-07-21,5.73,4.28
2005-07-28,5.77,4.2
2005-08-04,5.82,4.32
2005-08-11,5.89,4.32
2005-08-18,5.8,4.21
2005-08-25,5.77,4.18
2005-09-01,5.71,4.02
2005-09-08,5.71,4.15
2005-09-15,5.74,4.22
2005-09-22,5.8,4.19
2005-09-29,5.91,4.29
2005-10-06,5.98,4.37
2005-10-13,6.03,4.48
2005-10-20,6.1,4.46
2005-10-27,6.15,4.57
2005-11-03,6.31,4.65
2005-11-10,6.36,4.55
2005-11-17,6.37,4.46
2005-11-23,6.28,4.47
2005-12-01,6.26,4.52
2005-12-08,6.32,4.47
2005-12-15,6.3,4.47
2005-12-22,6.26,4.44
2005-12-29,6.22,4.37
2006-01-05,6.21,4.36
2006-01-12,6.15,4.42
2006-01-19,6.1,4.38
2006-01-26,6.12,4.53
2006-02-02,6.23,4.57
2006-02-09,6.24,4.54
2006-02-16,6.28,4.59
2006-02-23,6.26,4.56
2006-03-02,6.24,4.64
2006-03-09,6.37,4.74
2006-03-16,6.34,4.65
2006-03-23,6.32,4.73
2006-03-30,6.35,4.86
2006-04-06,6.43,4.9
2006-04-13,6.49,5.05
2006-04-20,6.53,5.04
2006-04-27,6.58,5.09
2006-05-04,6.59,5.16
2006-05-11,6.58,5.14
2006-05-18,6.6,5.08
2006-05-25,6.62,5.07
2006-06-01,6.67,5.11
2006-06-08,6.62,5.0
2006-06-15,6.63,5.1
2006-06-22,6.71,5.2
2006-06-29,6.78,5.22
2006-07-06,6.79,5.19
2006-07-13,6.74,5.08
2006-07-20,6.8,5.03
2006-07-27,6.72,5.07
2006-08-03,6.63,4.96
2006-08-10,6.55,4.93
2006-08-17,6.52,4.87
2006-08-24,6.48,4.81
2006-08-31,6.44,4.74
2006-09-07,6.47,4.8
2006-09-14,6.43,4.79
2006-09-21,6.4,4.65
2006-09-28,6.31,4.63
2006-10-05,6.3,4.61
2006-10-12,6.37,4.79
2006-10-19,6.36,4.79
2006-10-26,6.4,4.73
2006-11-02,6.31,4.6
2006-11-09,6.33,4.62
2006-11-16,6.24,4.66
2006-11-22,6.18,4.57
2006-11-30,6.14,4.46
2006-12-07,6.11,4.49
2006-12-14,6.12,4.6
2006-12-21,6.13,4.55
2006-12-28,6.18,4.7
2007-01-04,6.18,4.62
2007-01-11,6.21,4.74
2007-01-18,6.23,4.75
2007-01-25,6.25,4.87
2007-02-01,6.34,4.84
2007-02-08,6.28,4.73
2007-02-15,6.3,4.7
2007-02-22,6.22,4.73
2007-03-01,6.18,4.56
2007-03-08,6.14,4.51
2007-03-15,6.14,4.54
2007-03-22,6.16,4.6
2007-03-29,6.16,4.64
2007-04-05,6.17,4.68
2007-04-12,6.22,4.74
2007-04-19,6.17,4.68
2007-04-26,6.16,4.69
2007-05-03,6.16,4.68
2007-05-10,6.15,4.65
2007-05-17,6.21,4.76
2007-05-24,6.37,4.86
2007-05-31,6.42,4.9
2007-06-07,6.53,5.11
2007-06-14,6.74,5.23
2007-06-21,6.69,5.16
2007-06-28,6.67,5.12
2007-07-05,6.63,5.16
2007-07-12,6.73,5.13
2007-07-19,6.73,5.04
2007-07-26,6.69,4.79
2007-08-02,6.68,4.77
2007-08-09,6.59,4.79
2007-08-16,6.62,4.6
2007-08-23,6.52,4.62
2007-08-30,6.45,4.51
2007-09-06,6.46,4.51
2007-09-13,6.31,4.49
2007-09-20,6.34,4.69
2007-09-27,6.42,4.58
2007-10-04,6.37,4.54
2007-10-11,6.4,4.66
2007-10-18,6.4,4.52
2007-10-25,6.33,4.37
2007-11-01,6.26,4.36
2007-11-08,6.24,4.28
2007-11-15,6.24,4.17
2007-11-21,6.2,4.0
2007-11-29,6.1,3.94
2007-12-06,5.96,4.02
2007-12-13,6.11,4.18
2007-12-20,6.14,4.04
2007-12-27,6.17,4.21
2008-01-03,6.07,3.91
2008-01-10,5.87,3.91
2008-01-17,5.69,3.66
2008-01-24,5.48,3.68
2008-01-31,5.68,3.67
2008-02-07,5.67,3.74
2008-02-14,5.72,3.85
2008-02-21,6.04,3.77
2008-02-28,6.24,3.71
2008-03-06,6.03,3.62
2008-03-13,6.13,3.56
2008-03-20,5.87,3.34
2008-03-27,5.85,3.56
2008-04-03,5.88,3.61
2008-04-10,5.88,3.55
2008-04-17,5.88,3.75
2008-04-24,6.03,3.87
2008-05-01,6.06,3.78
2008-05-08,6.05,3.79
2008-05-15,6.01,3.83
2008-05-22,5.98,3.92
2008-05-29,6.08,4.08
2008-06-05,6.09,4.06
2008-06-12,6.32,4.23
2008-06-19,6.42,4.22
2008-06-26,6.45,4.07
2008-07-03,6.35,3.99
2008-07-10,6.37,3.83
2008-07-17,6.26,4.07
2008-07-24,6.63,4.03
2008-07-31,6.52,3.99
2008-08-07,6.52,3.92
2008-08-14,6.52,3.89
2008-08-21,6.47,3.84
2008-08-28,6.4,3.79
2008-09-04,6.35,3.64
2008-09-11,5.93,3.64
2008-09-18,5.78,3.54
2008-09-25,6.09,3.88
2008-10-02,6.1,3.66
2008-10-09,5.94,3.84
2008-10-16,6.46,3.99
2008-10-23,6.04,3.63
2008-10-30,6.46,4.0
2008-11-06,6.2,3.75
2008-11-13,6.14,3.84
2008-11-20,6.04,3.1
2008-11-26,5.97,2.99
2008-12-04,5.53,2.55
2008-12-11,5.47,2.64
2008-12-18,5.19,2.08
2008-12-24,5.14,2.2
2008-12-31,5.1,2.25
2009-01-08,5.01,2.47
2009-01-15,4.96,2.23
2009-01-22,5.12,2.62
2009-01-29,5.1,2.87
2009-02-05,5.25,2.95
2009-02-12,5.16,2.75
2009-02-19,5.04,2.85
2009-02-26,5.07,2.98
2009-03-05,5.15,2.83
2009-03-12,5.03,2.89
2009-03-19,4.98,2.61
2009-03-26,4.85,2.76
2009-04-02,4.78,2.77
2009-04-09,4.87,2.96
2009-04-16,4.82,2.86
2009-04-23,4.8,2.96
2009-04-30,4.78,3.16
2009-05-07,4.84,3.29
2009-05-14,4.86,3.1
2009-05-21,4.82,3.35
2009-05-28,4.91,3.67
2009-06-04,5.29,3.72
2009-06-11,5.59,3.88
2009-06-18,5.38,3.86
2009-06-25,5.42,3.55
2009-07-02,5.32,3.51
2009-07-09,5.2,3.44
2009-07-16,5.14,3.59
2009-07-23,5.2,3.72
2009-07-30,5.25,3.67
2009-08-06,5.22,3.79
2009-08-13,5.29,3.59
2009-08-20,5.12,3.42
2009-08-27,5.14,3.47
2009-09-03,5.08,3.33
2009-09-10,5.07,3.36
2009-09-17,5.04,3.42
2009-09-24,5.04,3.4
2009-10-01,4.94,3.21
2009-10-08,4.87,3.27
2009-10-15,4.92,3.49
2009-10-22,5.0,3.44
2009-10-29,5.03,3.53
2009-11-05,4.98,3.57
2009-11-12,4.91,3.45
2009-11-19,4.83,3.35
2009-11-25,4.78,3.28
2009-12-03,4.71,3.39
2009-12-10,4.81,3.49
2009-12-17,4.94,3.5
2009-12-24,5.05,3.82
2009-12-31,5.14,3.85
2010-01-07,5.09,3.85
2010-01-14,5.06,3.76
2010-01-21,4.99,3.62
2010-01-28,4.98,3.68
2010-02-04,5.01,3.62
2010-02-11,4.97,3.73
2010-02-18,4.93,3.79
2010-02-25,5.05,3.64
2010-03-04,4.97,3.61
2010-03-11,4.95,3.73
2010-03-18,4.96,3.68
2010-03-25,4.99,3.91
2010-04-01,5.08,3.89
2010-04-08,5.21,3.91
2010-04-15,5.07,3.86
2010-04-22,5.07,3.8
2010-04-29,5.06,3.76
2010-05-06,5.0,3.41
2010-05-13,4.93,3.55
2010-05-20,4.84,3.25
2010-05-27,4.78,3.34
2010-06-03,4.79,3.39
2010-06-10,4.72,3.33
2010-06-17,4.75,3.21
2010-06-24,4.69,3.14
2010-07-01,4.58,2.96
2010-07-08,4.57,3.04
2010-07-15,4.57,3.0
2010-07-22,4.56,2.96
2010-07-29,4.54,3.03
2010-08-05,4.49,2.94
2010-08-12,4.44,2.74
2010-08-19,4.42,2.58
2010-08-26,4.36,2.5
2010-09-02,4.32,2.63
2010-09-09,4.35,2.77
2010-09-16,4.37,2.77
2010-09-23,4.37,2.56
2010-09-30,4.32,2.53
2010-10-07,4.27,2.41
2010-10-14,4.19,2.52
2010-10-21,4.21,2.57
2010-10-28,4.23,2.69
2010-11-04,4.24,2.53
2010-11-18,4.39,2.9
2010-11-24,4.4,2.93
2010-12-02,4.46,3.01
2010-12-09,4.61,3.23
2010-12-16,4.83,3.47
2010-12-23,4.81,3.41
2010-12-30,4.86,3.38
2011-01-06,4.77,3.44
2011-01-13,4.71,3.34
2011-01-20,4.74,3.47
2011-01-27,4.8,3.42
2011-02-03,4.81,3.58
2011-02-10,5.05,3.7
2011-02-17,5.0,3.58
2011-02-24,4.95,3.46
2011-03-03,4.87,3.58
2011-03-10,4.88,3.37
2011-03-17,4.76,3.25
2011-03-24,4.81,3.42
2011-03-31,4.86,3.47
2011-04-07,4.87,3.58
2011-04-14,4.91,3.51
2011-04-21,4.8,3.42
2011-04-28,4.78,3.34
2011-05-05,4.71,3.18
2011-05-12,4.63,3.22
2011-05-19,4.61,3.17
2011-05-26,4.6,3.07
2011-06-02,4.55,3.04
2011-06-09,4.49,3.01
2011-06-16,4.5,2.93
2011-06-23,4.5,2.93
2011-06-30,4.51,3.18
2011-07-07,4.6,3.17
2011-07-14,4.51,2.98
2011-07-21,4.52,3.03
2011-07-28,4.55,2.98
2011-08-04,4.39,2.47
2011-08-11,4.32,2.34
2011-08-18,4.15,2.08
2011-08-25,4.22,2.23
2011-09-01,4.22,2.15
2011-09-08,4.12,2.0
2011-09-15,4.09,2.09
2011-09-22,4.09,1.72
2011-09-29,4.01,1.99
2011-10-06,3.94,2.01
2011-10-13,4.12,2.19
2011-10-20,4.11,2.2
2011-10-27,4.1,2.42
2011-11-03,4.0,2.09
2011-11-10,3.99,2.04
2011-11-17,4.0,1.96
2011-11-23,3.98,1.89
2011-12-01,4.0,2.11
2011-12-08,3.99,1.99
2011-12-15,3.94,1.92
2011-12-22,3.91,1.97
2011-12-29,3.95,1.91
2012-01-05,3.91,2.02
2012-01-12,3.89,1.94
2012-01-19,3.88,2.01
2012-01-26,3.98,1.96
2012-02-02,3.87,1.86
2012-02-09,3.87,2.04
2012-02-16,3.87,1.99
2012-02-23,3.95,1.99
2012-03-01,3.9,2.03
2012-03-08,3.88,2.03
2012-03-15,3.92,2.29
2012-03-22,4.08,2.29
2012-03-29,3.99,2.18
2012-04-05,3.98,2.19
2012-04-12,3.88,2.08
2012-04-19,3.9,1.98
2012-04-26,3.88,1.98
2012-05-03,3.84,1.96
2012-05-10,3.83,1.89
2012-05-17,3.79,1.7
2012-05-24,3.78,1.77
2012-05-31,3.75,1.59
2012-06-07,3.67,1.66
2012-06-14,3.71,1.64
2012-06-21,3.66,1.63
2012-06-28,3.66,1.6
2012-07-05,3.62,1.62
2012-07-12,3.56,1.5
2012-07-19,3.53,1.54
2012-07-26,3.49,1.45
2012-08-02,3.55,1.51
2012-08-09,3.59,1.69
2012-08-16,3.62,1.83
2012-08-23,3.66,1.68
2012-08-30,3.59,1.63
2012-09-06,3.55,1.68
2012-09-13,3.55,1.75
2012-09-20,3.49,1.8
2012-09-27,3.4,1.66
2012-10-04,3.36,1.7
2012-10-11,3.39,1.7
2012-10-18,3.37,1.86
2012-10-25,3.41,1.86
2012-11-01,3.39,1.75
2012-11-08,3.4,1.62
2012-11-15,3.34,1.58
2012-11-21,3.31,1.69
2012-11-29,3.32,1.62
2012-12-06,3.34,1.59
2012-12-13,3.32,1.74
2012-12-20,3.37,1.81
2012-12-27,3.35,1.74
2013-01-03,3.34,1.92
2013-01-10,3.4,1.91
2013-01-17,3.38,1.89
2013-01-24,3.42,1.88
2013-01-31,3.53,2.02
2013-02-07,3.53,1.99
2013-02-14,3.53,2.0
2013-02-21,3.56,1.99
2013-02-28,3.51,1.89
2013-03-07,3.52,2.0
2013-03-14,3.63,2.04
2013-03-21,3.54,1.95
2013-03-28,3.57,1.87
2013-04-04,3.54,1.78
2013-04-11,3.43,1.82
2013-04-18,3.41,1.72
2013-04-25,3.4,1.74
2013-05-02,3.35,1.66
2013-05-09,3.42,1.81
2013-05-16,3.51,1.87
2013-05-23,3.59,2.02
2013-05-30,3.81,2.13
2013-06-06,3.91,2.08
2013-06-13,3.98,2.19
2013-06-20,3.93,2.41
2013-06-27,4.46,2.49
2013-07-03,4.29,2.52
2013-07-11,4.51,2.6
2013-07-18,4.37,2.56
2013-07-25,4.31,2.61
2013-08-01,4.39,2.74
2013-08-08,4.4,2.58
2013-08-15,4.4,2.77
2013-08-22,4.58,2.9
2013-08-29,4.51,2.75
2013-09-05,4.57,2.98
2013-09-12,4.57,2.92
2013-09-19,4.5,2.76
2013-09-26,4.32,2.66
2013-10-03,4.22,2.62
2013-10-10,4.23,2.71
2013-10-17,4.28,2.61
2013-10-24,4.13,2.53
2013-10-31,4.1,2.57
2013-11-07,4.16,2.63
2013-11-14,4.35,2.69
2013-11-21,4.22,2.79
2013-11-27,4.29,2.74
2013-12-05,4.46,2.88
2013-12-12,4.42,2.89
2013-12-19,4.47,2.94
2013-12-26,4.48,3.0
2014-01-02,4.53,3.0
2014-01-09,4.51,2.97
2014-01-16,4.41,2.86
2014-01-23,4.39,2.79
2014-01-30,4.32,2.72
2014-02-06,4.23,2.73
2014-02-13,4.28,2.73
2014-02-20,4.33,2.76
2014-02-27,4.37,2.65
2014-03-06,4.28,2.74
2014-03-13,4.37,2.66
2014-03-20,4.32,2.79
2014-03-27,4.4,2.69
2014-04-03,4.41,2.8
2014-04-10,4.34,2.65
2014-04-17,4.27,2.73
2014-04-24,4.33,2.7
2014-05-01,4.29,2.63
2014-05-08,4.21,2.61
2014-05-15,4.2,2.5
2014-05-22,4.14,2.56
2014-05-29,4.12,2.45
2014-06-05,4.14,2.59
2014-06-12,4.2,2.58
2014-06-19,4.17,2.64
2014-06-26,4.14,2.53
2014-07-03,4.12,2.65
2014-07-10,4.15,2.55
2014-07-17,4.13,2.47
2014-07-24,4.13,2.52
2014-07-31,4.12,2.58
2014-08-07,4.14,2.43
2014-08-14,4.12,2.4
2014-08-21,4.1,2.41
2014-08-28,4.1,2.34
2014-09-04,4.1,2.45
2014-09-11,4.12,2.54
2014-09-18,4.23,2.63
2014-09-25,4.2,2.52
2014-10-02,4.19,2.44
2014-10-09,4.12,2.34
2014-10-16,3.97,2.17
2014-10-23,3.92,2.29
2014-10-30,3.98,2.32
2014-11-06,4.02,2.39
2014-11-13,4.01,2.35
2014-11-20,3.99,2.34
2014-11-26,3.97,2.24
2014-12-04,3.89,2.25
2014-12-11,3.93,2.19
2014-12-18,3.8,2.22
2014-12-24,3.83,2.27
2014-12-31,3.87,2.17
2015-01-08,3.73,2.03
2015-01-15,3.66,1.77
2015-01-22,3.63,1.9
2015-01-29,3.66,1.77
2015-02-05,3.59,1.83
2015-02-12,3.69,1.99
2015-02-19,3.76,2.11
2015-02-26,3.8,2.03
